[2026-01-09 11:06:43.556] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:43.826] [info] HikRobot's capture thread started.
[2026-01-09 11:06:45.700] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:45.942] [info] HikRobot's capture thread started.
[2026-01-09 11:06:49.880] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.895] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.905] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.920] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.930] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.945] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.955] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.970] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.980] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.995] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.005] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.020] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.030] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.045] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.056] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.071] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.081] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
